run_id,seed,batch_size,repetition,stage,duration_ns,record_count,late_count,provenance
python-20260723T020649Z,621553246858843935,16,27,sign_batch,583338,16,1,measured
python-20260723T020649Z,621553246858843935,16,27,signature_admission_batch,1965996,16,1,measured
python-20260723T020649Z,621553246858843935,16,27,merkle_build,20390,16,1,measured
python-20260723T020649Z,621553246858843935,16,27,proof_verify,19218,16,1,measured
python-20260723T020649Z,621553246858843935,16,27,verify_batch,2022830,16,1,measured
python-20260723T020649Z,621553246858843935,16,27,late_rebuild,66729,16,1,measured
python-20260723T020649Z,621553246858843935,16,28,verify_batch,1951925,16,1,measured
python-20260723T020649Z,621553246858843935,16,28,sign_batch,622246,16,1,measured
python-20260723T020649Z,621553246858843935,16,28,late_rebuild,46499,16,1,measured
python-20260723T020649Z,621553246858843935,16,28,proof_verify,14171,16,1,measured
python-20260723T020649Z,621553246858843935,16,28,signature_admission_batch,1828682,16,1,measured
python-20260723T020649Z,621553246858843935,16,28,merkle_build,16885,16,1,measured
python-20260723T020649Z,621553246858843935,16,29,signature_admission_batch,2147967,16,1,measured
python-20260723T020649Z,621553246858843935,16,29,merkle_build,18508,16,1,measured
python-20260723T020649Z,621553246858843935,16,29,verify_batch,1776284,16,1,measured
python-20260723T020649Z,621553246858843935,16,29,sign_batch,791338,16,1,measured
python-20260723T020649Z,621553246858843935,16,29,late_rebuild,72818,16,1,measured
python-20260723T020649Z,621553246858843935,16,29,proof_verify,16805,16,1,measured
python-20260723T020649Z,621553246858843935,16,30,verify_batch,2302237,16,1,measured
python-20260723T020649Z,621553246858843935,16,30,signature_admission_batch,2114517,16,1,measured
python-20260723T020649Z,621553246858843935,16,30,late_rebuild,43815,16,1,measured
python-20260723T020649Z,621553246858843935,16,30,sign_batch,613904,16,1,measured
python-20260723T020649Z,621553246858843935,16,30,merkle_build,22844,16,1,measured
python-20260723T020649Z,621553246858843935,16,30,proof_verify,12188,16,1,measured
python-20260723T020649Z,621553246858843935,16,31,late_rebuild,37786,16,1,measured
python-20260723T020649Z,621553246858843935,16,31,merkle_build,14832,16,1,measured
python-20260723T020649Z,621553246858843935,16,31,verify_batch,1861321,16,1,measured
python-20260723T020649Z,621553246858843935,16,31,proof_verify,13230,16,1,measured
python-20260723T020649Z,621553246858843935,16,31,sign_batch,660093,16,1,measured
python-20260723T020649Z,621553246858843935,16,31,signature_admission_batch,1883594,16,1,measured
python-20260723T020649Z,621553246858843935,16,32,late_rebuild,40891,16,1,measured
python-20260723T020649Z,621553246858843935,16,32,verify_batch,1809643,16,1,measured
python-20260723T020649Z,621553246858843935,16,32,proof_verify,12399,16,1,measured
python-20260723T020649Z,621553246858843935,16,32,sign_batch,624940,16,1,measured
python-20260723T020649Z,621553246858843935,16,32,signature_admission_batch,2317890,16,1,measured
python-20260723T020649Z,621553246858843935,16,32,merkle_build,19810,16,1,measured
python-20260723T020649Z,621553246858843935,16,33,late_rebuild,38998,16,1,measured
python-20260723T020649Z,621553246858843935,16,33,verify_batch,1757156,16,1,measured
python-20260723T020649Z,621553246858843935,16,33,signature_admission_batch,1844045,16,1,measured
python-20260723T020649Z,621553246858843935,16,33,merkle_build,16745,16,1,measured
python-20260723T020649Z,621553246858843935,16,33,proof_verify,13470,16,1,measured
python-20260723T020649Z,621553246858843935,16,33,sign_batch,585892,16,1,measured
python-20260723T020649Z,621553246858843935,16,34,late_rebuild,36734,16,1,measured
python-20260723T020649Z,621553246858843935,16,34,signature_admission_batch,2293133,16,1,measured
python-20260723T020649Z,621553246858843935,16,34,proof_verify,17816,16,1,measured
python-20260723T020649Z,621553246858843935,16,34,verify_batch,1762323,16,1,measured
python-20260723T020649Z,621553246858843935,16,34,sign_batch,607604,16,1,measured
python-20260723T020649Z,621553246858843935,16,34,merkle_build,31367,16,1,measured
python-20260723T020649Z,621553246858843935,16,35,sign_batch,623989,16,1,measured
python-20260723T020649Z,621553246858843935,16,35,signature_admission_batch,1865656,16,1,measured
python-20260723T020649Z,621553246858843935,16,35,merkle_build,17807,16,1,measured
python-20260723T020649Z,621553246858843935,16,35,proof_verify,11317,16,1,measured
python-20260723T020649Z,621553246858843935,16,35,late_rebuild,39499,16,1,measured
python-20260723T020649Z,621553246858843935,16,35,verify_batch,1774932,16,1,measured
python-20260723T020649Z,621553246858843935,16,36,signature_admission_batch,1840509,16,1,measured
python-20260723T020649Z,621553246858843935,16,36,sign_batch,582136,16,1,measured
python-20260723T020649Z,621553246858843935,16,36,late_rebuild,38497,16,1,measured
python-20260723T020649Z,621553246858843935,16,36,verify_batch,1733150,16,1,measured
python-20260723T020649Z,621553246858843935,16,36,merkle_build,16114,16,1,measured
